player_id,player_name,age,ioc,participation_number,Number_of_matchs,win_count,lose_count,win/lose_ratio,total_aces,total_doubleF,total_1stIn,total_1stWon,FirstSvcMade/FirstSvcWon,rank_2010,rank_2011,rank_2012,rank_2013,rank_2014,rank_2015,rank_2016,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022,rank_2023,rank_2024,rank_points_2010,rank_points_2011,rank_points_2012,rank_points_2013,rank_points_2014,rank_points_2015,rank_points_2016,rank_points_2017,rank_points_2018,rank_points_2019,rank_points_2020,rank_points_2021,rank_points_2022,rank_points_2023,rank_points_2024,total_rank_points_
105870,Yannick Hanfmann,32,GER,3,136,64,72,0.89,599,102,6680,4562,68.28999999999999,99999,99999,99999,99999,99999,99999,99999,170,118,99999,101,107,140,56,85,0,0,0,0,0,0,0,318,465,0,682,747,391,908,682,4193
104594,Marinko Matosevic,29,AUS,3,159,64,95,0.67,688,150,7208,4888,67.81,240,152,51,61,78,80,99999,99999,99999,99999,99999,99999,99999,99999,99999,191,344,808,774,682,638,0,0,0,0,0,0,0,0,0,3437
105657,Marius Copil,30,ROU,11,155,63,92,0.68,1541,134,6472,4896,75.64999999999999,99999,232,178,147,181,180,198,83,93,92,99999,250,99999,99999,99999,0,211,281,369,281,268,275,639,608,607,0,259,0,0,0,3798
104735,Tobias Kamke,31,GER,6,164,63,101,0.62,326,164,7413,4860,65.56,72,109,98,74,93,98,132,185,99999,99999,99999,99999,99999,99999,99999,707,520,563,663,590,560,450,283,0,0,0,0,0,0,0,4336
103428,Juan Ignacio Chela,32,ARG,2,123,63,60,1.05,226,99,6185,4009,64.82,40,23,33,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1115,1485,1165,0,0,0,0,0,0,0,0,0,0,0,0,3765
106078,Egor Gerasimov,30,BLR,7,118,62,56,1.11,790,163,5491,3952,71.97,99999,99999,99999,450,252,302,211,263,217,98,81,109,150,661,99999,0,0,0,78,184,151,263,190,255,570,820,724,412,46,0,3693
104460,Dustin Brown,34,GER,7,160,62,98,0.63,1401,280,8206,6037,73.57000000000001,123,123,138,111,92,107,74,116,99999,170,99999,99999,99999,99999,99999,429,458,391,506,608,499,722,490,0,313,0,0,0,0,0,4416
126952,Soon Woo Kwon,26,KOR,7,130,62,68,0.91,608,169,6071,4257,70.12,99999,99999,99999,99999,99999,99999,99999,99999,99999,88,73,82,120,68,863,0,0,0,0,0,0,0,0,0,617,742,899,451,764,20,3493
105217,Thiemo De Bakker,29,NED,12,142,61,81,0.75,1057,79,6045,4391,72.64,47,83,159,108,142,134,102,408,369,99999,99999,99999,99999,99999,99999,980,630,324,509,418,403,554,103,115,0,0,0,0,0,0,4036
105902,James Duckworth,32,AUS,4,158,61,97,0.63,1358,142,7962,5780,72.59,99999,99999,250,159,167,95,175,99999,654,99999,96,55,83,123,105,0,0,191,354,331,532,330,0,38,0,598,1076,637,510,565,5162
104332,Philipp Petzschner,30,GER,2,125,60,65,0.92,846,135,5395,3989,73.94,52,63,107,119,524,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,910,761,534,448,66,0,0,0,0,0,0,0,0,0,0,2719
103607,Victor Estrella,37,DOM,8,131,60,71,0.85,388,111,5428,3635,66.97,99999,210,168,271,80,66,75,90,86,99999,99999,99999,99999,99999,99999,0,239,303,165,653,717,717,595,642,0,0,0,0,0,0,4031
103808,Potito Starace,32,ITA,9,132,60,72,0.83,347,48,6767,4458,65.88000000000001,55,53,95,293,152,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,905,870,558,150,354,0,0,0,0,0,0,0,0,0,0,2837
124079,Pedro Martinez,26,ESP,5,134,60,74,0.81,281,199,7282,4739,65.08,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,105,62,68,120,57,0,0,0,0,0,0,0,0,0,0,610,996,745,476,897,3724
105011,Illya Marchenko,34,UKR,11,150,59,91,0.65,683,185,6385,4500,70.48,99,106,240,150,148,117,50,93,99999,99999,207,164,99999,99999,99999,559,497,197,371,377,465,905,604,0,0,240,429,0,0,0,4644
103507,Juan Carlos Ferrero,32,ESP,3,95,58,37,1.57,236,76,4729,3164,66.91,24,58,41,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1560,810,990,0,0,0,0,0,0,0,0,0,0,0,0,3360
126239,Arthur Rinderknech,28,FRA,5,126,58,68,0.85,1189,124,6388,4819,75.44,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,60,51,67,73,0,0,0,0,0,0,0,0,0,0,0,1000,897,826,739,3462
103582,Michael Berrer,35,GER,6,146,57,89,0.64,814,168,7414,5216,70.35,53,85,123,153,147,129,121,99999,99999,99999,99999,99999,99999,99999,99999,915,612,460,356,380,421,506,0,0,0,0,0,0,0,0,3650
144895,Corentin Moutet,25,FRA,1,137,57,80,0.71,321,161,7861,5105,64.94,99999,99999,99999,99999,99999,99999,99999,99999,141,97,75,88,64,122,83,0,0,0,0,0,0,0,0,398,584,838,873,777,499,715,4684
136440,Dominik Koepfer,30,GER,5,122,56,66,0.85,516,200,6223,4212,67.67999999999999,99999,99999,99999,99999,99999,99999,99999,99999,243,118,61,54,145,78,67,0,0,0,0,0,0,0,0,232,474,886,1101,392,757,767,4609
105539,Evgeny Donskoy,31,RUS,11,170,55,115,0.48,830,114,7859,5503,70.02000000000001,260,99999,99999,84,128,118,102,88,97,118,121,157,99999,99999,99999,179,0,0,628,421,473,608,595,594,468,505,482,0,0,0,4953
103344,Ivan Ljubicic,32,CRO,2,99,54,45,1.2,1085,78,4537,3480,76.7,17,31,42,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,2100,1235,995,0,0,0,0,0,0,0,0,0,0,0,0,4330
105948,Federico Coria,32,ARG,1,121,53,68,0.78,310,125,6161,3878,62.94,99999,99999,99999,99999,99999,99999,99999,99999,335,99999,99,68,78,108,83,0,0,0,0,0,0,0,0,147,0,671,950,665,602,711,3746
207733,Jack Draper,22,GBR,7,93,53,40,1.32,729,120,4061,3091,76.11,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,309,41,82,40,0,0,0,0,0,0,0,0,0,0,0,168,1020,706,1136,3030
105216,Yuichi Sugita,32,JPN,6,139,53,86,0.62,504,116,6460,4396,68.05,99999,175,235,148,99999,152,102,37,45,129,101,111,99999,99999,99999,0,299,207,374,0,337,583,1184,1050,429,689,713,0,0,0,5865
104979,Andrey Golubev,27,KAZ,11,145,53,92,0.58,506,101,5644,3809,67.49000000000001,36,97,145,131,66,117,99999,99999,99999,99999,99999,99999,99999,99999,99999,1200,560,372,430,766,475,0,0,0,0,0,0,0,0,0,3803
104978,Daniel Brands,31,GER,9,134,51,83,0.61,1180,114,7016,5061,72.14,81,182,153,54,68,170,134,225,99999,180,99999,99999,99999,99999,99999,641,272,367,836,719,307,455,233,0,285,0,0,0,0,0,4115
103484,James Blake,33,USA,3,111,51,60,0.85,595,131,5089,3722,73.14,135,60,107,100,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,405,769,527,553,0,0,0,0,0,0,0,0,0,0,0,2254
104882,Blaz Kavcic,31,SLO,9,136,51,85,0.6,502,124,6063,3985,65.73,120,81,77,105,92,132,99999,171,176,99999,99999,99999,99999,99999,99999,467,640,632,526,618,413,0,334,328,0,0,0,0,0,0,3958
123755,Daniel Elahi Galan,27,COL,3,118,50,68,0.74,553,54,5907,4031,68.24,99999,99999,99999,99999,99999,607,99999,99999,257,241,153,111,72,88,93,0,0,0,0,0,48,0,0,198,192,379,711,712,699,651,3590
144869,Tomas Martin Etcheverry,24,ARG,3,106,50,56,0.89,567,65,5505,3810,69.21000000000001,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,234,87,31,29,0,0,0,0,0,0,0,0,0,0,0,258,601,1380,1410,3649
104500,Somdev Devvarman,30,IND,11,118,50,68,0.74,391,62,4638,3088,66.58,113,84,664,114,141,164,99999,99999,99999,99999,99999,99999,99999,99999,99999,478,618,32,491,401,310,0,0,0,0,0,0,0,0,0,2330
144684,Alex Molcan,26,SVK,5,95,50,45,1.11,307,104,4728,3142,66.46,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,138,46,113,122,0,0,0,0,0,0,0,0,0,0,0,579,962,530,518,2589
104997,Igor Sijsling,28,NED,2,137,50,87,0.57,946,83,5957,4365,73.28,159,148,75,67,74,134,115,99999,99999,99999,99999,99999,99999,99999,99999,304,376,642,713,713,411,523,0,0,0,0,0,0,0,0,3682
104166,Alex Bogomolov Jr,30,RUS,3,118,49,69,0.71,259,128,6321,4113,65.07,99999,35,96,80,96,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,1170,555,638,579,0,0,0,0,0,0,0,0,0,0,2942
105967,Henri Laaksonen,30,SUI,6,124,48,76,0.63,689,174,5673,3996,70.44,99999,99999,99999,216,319,359,138,96,175,105,139,99,96,99999,99999,0,0,0,217,143,122,433,566,315,541,435,762,668,0,0,4202
111577,Jared Donaldson,22,USA,2,113,48,65,0.74,681,182,4648,3427,73.72999999999999,99999,99999,99999,99999,99999,153,122,56,62,192,99999,99999,99999,99999,99999,0,0,0,0,0,344,497,883,900,270,0,0,0,0,0,2894
105815,Tennys Sandgren,30,USA,4,123,47,76,0.62,1053,112,6267,4580,73.08,99999,99999,99999,99999,99999,99999,99999,106,62,72,47,101,99999,99999,99999,0,0,0,0,0,0,0,511,838,826,1068,758,0,0,0,4001
103188,Michael Russell,36,USA,4,126,47,79,0.59,348,135,6293,4158,66.07,87,95,83,85,143,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,589,568,590,610,416,0,0,0,0,0,0,0,0,0,0,2773
104214,Igor Andreev,29,RUS,6,111,46,65,0.71,528,113,5108,3633,71.12,102,117,89,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,540,484,579,0,0,0,0,0,0,0,0,0,0,0,0,1603
202385,Jenson Brooksby,22,USA,2,79,46,33,1.39,220,56,3831,2585,67.47999999999999,99999,99999,99999,99999,99999,99999,99999,99999,99999,394,99999,70,46,39,99999,0,0,0,0,0,0,0,0,0,88,0,947,982,1010,0,3027
126214,Alejandro Tabilo,26,CHI,7,83,45,38,1.18,518,85,3928,2809,71.50999999999999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,173,184,70,187,32,0,0,0,0,0,0,0,0,0,0,290,391,741,314,1320,3056
210097,Ben Shelton,21,USA,2,82,45,37,1.22,799,169,4654,3528,75.81,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,229,19,14,0,0,0,0,0,0,0,0,0,0,0,0,221,1865,2460,4546
